ValueDate,TheValue
28/03/2014,5.5
27/03/2014,5.5
26/03/2014,5.5
25/03/2014,5.5
24/03/2014,5.5
22/03/2014,5.5
20/03/2014,5.5
19/03/2014,5.5
18/03/2014,5.5
17/03/2014,5.5
15/03/2014,5.5
14/03/2014,5.5
13/03/2014,5.5
12/03/2014,5.5
11/03/2014,5.5
10/03/2014,5.5
08/03/2014,5.5
07/03/2014,5.5
06/03/2014,5.5
05/03/2014,5.5
04/03/2014,5.5
03/03/2014,5.5
01/03/2014,5.5
28/02/2014,5.5
27/02/2014,5.5
26/02/2014,5.5
25/02/2014,5.5
24/02/2014,5.5
22/02/2014,5.5
21/02/2014,5.5
20/02/2014,5.5
19/02/2014,5.5
18/02/2014,5.5
17/02/2014,5.5
15/02/2014,5.5
14/02/2014,5.5
13/02/2014,5.5
12/02/2014,5.5
11/02/2014,5.5
10/02/2014,5.5
08/02/2014,5.5
07/02/2014,5.5
06/02/2014,5.5
05/02/2014,5.5
04/02/2014,5.5
03/02/2014,5.5
01/02/2014,5.5
31/01/2014,5.5
30/01/2014,5.5
29/01/2014,5
28/01/2014,5
27/01/2014,5
25/01/2014,5
24/01/2014,5
23/01/2014,5
22/01/2014,5
21/01/2014,5
20/01/2014,5
18/01/2014,5
17/01/2014,5
16/01/2014,5
15/01/2014,5
14/01/2014,5
13/01/2014,5
11/01/2014,5
10/01/2014,5
09/01/2014,5
08/01/2014,5
07/01/2014,5
06/01/2014,5
04/01/2014,5
03/01/2014,5
02/01/2014,5
31/12/2013,5
30/12/2013,5
28/12/2013,5
27/12/2013,5
24/12/2013,5
23/12/2013,5
21/12/2013,5
20/12/2013,5
19/12/2013,5
18/12/2013,5
17/12/2013,5
14/12/2013,5
13/12/2013,5
12/12/2013,5
11/12/2013,5
10/12/2013,5
09/12/2013,5
07/12/2013,5
06/12/2013,5
05/12/2013,5
04/12/2013,5
03/12/2013,5
02/12/2013,5
30/11/2013,5
29/11/2013,5
28/11/2013,5
27/11/2013,5
26/11/2013,5
25/11/2013,5
23/11/2013,5
22/11/2013,5
21/11/2013,5
20/11/2013,5
19/11/2013,5
18/11/2013,5
16/11/2013,5
15/11/2013,5
14/11/2013,5
13/11/2013,5
12/11/2013,5
11/11/2013,5
09/11/2013,5
08/11/2013,5
07/11/2013,5
06/11/2013,5
05/11/2013,5
04/11/2013,5
02/11/2013,5
01/11/2013,5
31/10/2013,5
30/10/2013,5
29/10/2013,5
28/10/2013,5
25/10/2013,5
24/10/2013,5
23/10/2013,5
22/10/2013,5
21/10/2013,5
18/10/2013,5
17/10/2013,5
16/10/2013,5
15/10/2013,5
14/10/2013,5
12/10/2013,5
11/10/2013,5
10/10/2013,5
09/10/2013,5
08/10/2013,5
07/10/2013,5
05/10/2013,5
04/10/2013,5
03/10/2013,5
02/10/2013,5
01/10/2013,5
30/09/2013,5
28/09/2013,5
27/09/2013,5
26/09/2013,5
25/09/2013,5
23/09/2013,5
21/09/2013,5
20/09/2013,5
19/09/2013,5
18/09/2013,5
17/09/2013,5
16/09/2013,5
14/09/2013,5
13/09/2013,5
12/09/2013,5
11/09/2013,5
10/09/2013,5
09/09/2013,5
07/09/2013,5
06/09/2013,5
05/09/2013,5
04/09/2013,5
03/09/2013,5
02/09/2013,5
31/08/2013,5
30/08/2013,5
29/08/2013,5
28/08/2013,5
27/08/2013,5
26/08/2013,5
24/08/2013,5
23/08/2013,5
22/08/2013,5
21/08/2013,5
20/08/2013,5
19/08/2013,5
17/08/2013,5
16/08/2013,5
15/08/2013,5
14/08/2013,5
13/08/2013,5
12/08/2013,5
10/08/2013,5
08/08/2013,5
07/08/2013,5
06/08/2013,5
05/08/2013,5
03/08/2013,5
02/08/2013,5
01/08/2013,5
31/07/2013,5
30/07/2013,5
29/07/2013,5
27/07/2013,5
26/07/2013,5
25/07/2013,5
24/07/2013,5
23/07/2013,5
22/07/2013,5
20/07/2013,5
19/07/2013,5
18/07/2013,5
17/07/2013,5
16/07/2013,5
15/07/2013,5
13/07/2013,5
12/07/2013,5
11/07/2013,5
